Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,141369,-,-,-,39.01,-122.14,0,101,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2020,1,1,0,0,13.3,22,523,97,4,7.4,42,122,57,60,67.36,81.72,0.15,1007,1.2000000000000002,251,0.6000000000000001,0.0000,0.0000
2020,1,1,0,30,12.5,23,360,46,4,7.4,22,122,75,30,70.97,86.33,0.15,1007,1.1,223,0.6000000000000001,0.0000,0.0000
2020,1,1,1,0,11.8,3,32,2,7,7.1000000000000005,1,0,29,1,73.14,91.51,0.15,1007,1.1,196,0.6000000000000001,0.0000,0.0000
2020,1,1,1,30,11,0,0,0,8,7.1000000000000005,0,0,0,0,77.10000000000001,96.72,0.15,1007,1.1,192,0.7000000000000001,0.0000,0.0000
2020,1,1,2,0,10.200000000000001,0,0,0,7,7.5,0,0,0,0,83.25,102.12,0.15,1007,1.1,189,0.8,0.0000,0.0000
2020,1,1,2,30,9.600000000000001,0,0,0,7,7.5,0,0,0,0,86.65,107.66,0.15,1007,1.1,194,0.8,0.0000,0.0000
2020,1,1,3,0,8.9,0,0,0,6,7.6000000000000005,0,0,0,0,91.41,113.32000000000001,0.15,1007,1.1,198,0.9,0.0000,0.0000
2020,1,1,3,30,8.6,0,0,0,6,7.6000000000000005,0,0,0,0,93.27,119.07000000000001,0.15,1007,1.1,204,0.9,0.0000,0.0000
2020,1,1,4,0,8.3,0,0,0,7,7.6000000000000005,0,0,0,0,95.14,124.87,0.15,1007,1.2000000000000002,210,0.9,0.0000,0.0000
2020,1,1,4,30,8.1,0,0,0,7,7.6000000000000005,0,0,0,0,96.44,130.69,0.15,1007,1.2000000000000002,216,0.9,0.0000,0.0000
