,yy,yub,ylb
sdt (AC),0.0963867699701837,0.2657613433691264,-0.072483368726321
rdtools ground (DC),-0.6946666136000701,-0.3810100898762505,-0.9574458785392717
rdtools nsrdb (AC),-0.0848732796770223,0.5381014614215824,-0.6830600281231497
